,body_en
1066,"['208.110.64.130', '61.177.172.13', '61.177.172.13', '208.110.64.130', '208.110.64.130', '192.187.107.16', '192.187.107.16', '208.110.64.130', '91.189.92.20', '91.189.92.38', '91.189.92.39', '91.189.92.19', '91.189.92.40', '91.189.92.40', '91.189.92.41', '208.10.64.130', '208.110.64.130', '193.57.40.49', '208.110.64.130', '185.191.34.120', '208.110.64.130', '193.27.228.65', '208.110.64.130', '208.110.64.130', '185.191.34.120', '71.168.131.157', '208.10.64.130', '208.110.64.130', '193.27.228.65', '208.110.64.130', '208.110.64.130', '208.110.64.130', '193.57.40.49', '208.110.64.130', '71.168.131.157', '208.110.64.130', '71.6.199.23', '208.110.64.130', '161.35.12.145']"
1160,['46.8.157.223']
1712,"['217.12.218.109', '217.12.203.191']"
2167,"['73.180.36.152', '208.125.46.162']"
2422,"['5.181.156.166', '94.140.115.123', '103.124.104.56', '194.135.33.150', '5.181.80.121', '185.99.133.115', '89.41.182.52', '193.8.172.239', '194.15.113.92', '5.196.197.27', '162.55.32.162', '31.13.195.184']"
2431,"['192.168.86.23', '255.255.255.0', '192.168.86.1', '192.168.86.1', '192.168.86.1']"
2529,"['192.168.86.23', '255.255.255.0', '192.168.86.1', '192.168.86.1', '192.168.86.1']"
3006,['185.246.152.121']
3894,['128.201.76.252']
4111,"['75.151.48.49', '24.53.75.60', '96.70.44.17', '71.105.126.26', '64.40.247.118', '96.93.217.253', '173.163.176.177', '12.191.116.202']"
4122,"['75.151.48.49', '24.53.75.60', '96.70.44.17', '71.105.126.26', '64.40.247.118', '96.93.217.253', '173.163.176.177', '12.191.116.202']"
4330,"['217.12.210.41', '195.123.212.17']"
7099,"['103.137.80.22', '103.250.70.198', '119.148.101.102', '45.126.75.91', '203.76.149.210', '203.76.101.16', '103.142.80.254', '103.123.170.120']"
7640,"['206.188.196.239', '168.100.8.69', '168.100.11.213', '195.123.222.91', '45.61.136.202', '162.33.179.125', '185.64.104.5', '217.12.204.65', '185.64.104.141', '185.14.28.109', '5.181.156.15', '162.33.178.178', '45.61.138.153', '185.64.104.36', '195.123.228.5', '195.123.228.6']"
7646,['194.76.226.22']
7649,['194.135.33.191']
7652,['104.161.32.44']
7654,['8.6.193.80']
7657,['194.76.227.29']
7660,['88.119.175.208']
7663,['45.11.183.198']
7666,['144.202.43.124']
7669,['194.135.33.137']
7672,['198.46.198.9']
7675,['185.219.221.171']
7679,['5.2.78.121']
7682,['198.244.193.207']
7685,['195.149.87.233']
7687,['31.214.157.242']
7689,['149.28.103.187']
7692,['185.158.249.119']
7695,['176.10.119.72']
8575,['10.251.33.252']
8603,"['117.252.69.134', '117.252.68.15', '116.206.153.212', '103.78.13.150', '103.47.170.131', '103.47.170.130', '118.91.190.42', '117.197.41.36', '117.222.63.77', '117.252.69.210']"
9207,['185.244.41.9']
9216,['185.244.41.9']
11456,"['109.230.199.73/20', '109.230.199.73/20']"
12612,['186.72.79.132']
12613,['186.72.79.132']
13097,"['195.149.87.59', '195.149.87.59']"
13986,['54.183.140.39']
13991,['54.183.140.39']
15780,['174.238.4.80']
15811,['174.238.4.80']
18268,['37.120.222.100']
18272,['193.39.185.14']
18415,['31.14.40.236']
18479,['86.217.170.116']
18521,['86.217.170.116']
18663,['83.242.96.193']
18771,"['173.167.160.17', '196.155.13.118']"
19606,['162.76.2.1']
19607,"['162.76.0.0/16', '161.76.0.0/16']"
19936,['188.127.226.236']
19937,['188.127.226.236']
19966,['188.127.226.236']
20067,"['138.124.180.94', '45.14.226.47', '193.203.203.101', '138.124.180.94', '193.203.203.101']"
20075,"['138.124.180.94', '45.14.226.47', '193.203.203.101', '138.124.180.94', '193.203.203.101']"
20224,"['208.110.64.130', '61.177.172.13', '61.177.172.13', '208.110.64.130', '208.110.64.130', '192.187.107.16', '192.187.107.16', '208.110.64.130', '91.189.92.20', '91.189.92.38', '91.189.92.39', '91.189.92.19', '91.189.92.40', '91.189.92.40', '91.189.92.41', '208.10.64.130', '208.110.64.130', '193.57.40.49', '208.110.64.130', '185.191.34.120', '208.110.64.130', '193.27.228.65', '208.110.64.130', '208.110.64.130', '185.191.34.120', '71.168.131.157', '208.10.64.130', '208.110.64.130', '193.27.228.65', '208.110.64.130', '208.110.64.130', '208.110.64.130', '193.57.40.49', '208.110.64.130', '71.168.131.157', '208.110.64.130', '71.6.199.23', '208.110.64.130', '161.35.12.145']"
20629,['98.185.40.23']
20630,['98.185.40.23']
21047,['170.130.55.77']
21048,['170.130.55.77']
21575,['141.94.162.156']
22897,['185.64.104.216']
23849,['75.147.147.133']
23853,['75.147.147.133']
23978,['195.123.222.97']
23984,['195.123.222.97']
25250,['63.147.234.198']
25298,['45.230.176.157']
25307,['63.147.234.198']
25364,['31.14.40.220']
25365,['31.14.40.220']
25369,['63.147.234.198']
25396,['63.147.234.198']
26691,['128.199.196.59']
26698,['128.199.196.59']
26730,['38.88.223.172']
26736,['38.88.223.172']
28380,['198.244.193.210']
28472,['198.244.193.210']
28765,"['195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59']"
28826,"['195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59']"
29364,['179.43.147.243']
29387,['179.43.147.243']
29408,['179.43.147.243']
29445,"['127.0.0.1', '127.0.0.1']"
30494,['185.25.48.83']
31335,['91.193.181.22']
31511,"['195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59']"
31512,"['195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59', '195.149.87.59']"
31575,['37.0.8.166']
32100,['185.193.37.222']
32402,['66.29.138.17']
32995,"['203.76.105.227', '203.76.105.227', '203.76.105.227']"
32996,"['203.76.105.227', '203.76.105.227', '203.76.105.227']"
32997,"['203.76.105.227', '203.76.105.227', '203.76.105.227']"
32998,"['203.76.105.227', '203.76.105.227', '203.76.105.227']"
32999,"['203.76.105.227', '203.76.105.227', '203.76.105.227']"
33000,"['203.76.105.227', '203.76.105.227', '203.76.105.227']"
33001,"['203.76.105.227', '203.76.105.227', '203.76.105.227']"
33851,['172.83.155.195']
34035,"['24.185.61.99', '75.142.80.233', '162.210.168.43', '75.163.169.121', '206.251.37.27', '72.191.66.50', '172.243.178.252', '107.204.18.57', '174.96.143.3', '71.249.104.3', '184.169.98.10', '198.45.136.28', '173.19.92.26', '192.154.176.134', '209.142.127.61', '198.45.181.114']"
34152,"['103.101.104.229', '103.102.73.165', '103.124.145.98']"
35095,"['0.54.218.218', '19.1.19.2', '19.3.192.44', '192.43.204.169', '192.48.192.47', '204.168.192.36', '192.35.192.10', '192.9.192.40', '192.39.192.20', '0.192.19.0', '192.19.0.192', '19.0.192.19', '0.192.19.0', '192.19.0.192', '0.73.53.96', '119.159.215.212', '71.216.72.236', '103.226.140.165', '145.139.122.217', '41.240.23.248', '115.130.152.66', '0.45.0.2', '1.1.0.43']"
35096,"['0.54.218.218', '19.1.19.2', '19.3.192.44', '192.43.204.169', '192.48.192.47', '204.168.192.36', '192.35.192.10', '192.9.192.40', '192.39.192.20', '0.192.19.0', '192.19.0.192', '19.0.192.19', '0.192.19.0', '192.19.0.192', '0.73.53.96', '119.159.215.212', '71.216.72.236', '103.226.140.165', '145.139.122.217', '41.240.23.248', '115.130.152.66', '0.45.0.2', '1.1.0.43']"
35097,"['0.54.218.218', '19.1.19.2', '19.3.192.44', '192.43.204.169', '192.48.192.47', '204.168.192.36', '192.35.192.10', '192.9.192.40', '192.39.192.20', '0.192.19.0', '192.19.0.192', '19.0.192.19', '0.192.19.0', '192.19.0.192', '0.73.53.96', '119.159.215.212', '71.216.72.236', '103.226.140.165', '145.139.122.217', '41.240.23.248', '115.130.152.66', '0.45.0.2', '1.1.0.43']"
35098,"['0.54.218.218', '19.1.19.2', '19.3.192.44', '192.43.204.169', '192.48.192.47', '204.168.192.36', '192.35.192.10', '192.9.192.40', '192.39.192.20', '0.192.19.0', '192.19.0.192', '19.0.192.19', '0.192.19.0', '192.19.0.192']"
